date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:11	55852/55852	---M-Z	200	added ('OK')	application/javascript	etag:%22ccc3488d1b08362c63a3ef6350fdf8e3%22	https://s.brightspace.com/lib/elastic-apm-rum/5.5.0/elastic-apm-rum.umd.min.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/elastic-apm-rum/5.5.0/elastic-apm-rum.umd.min.js	(from https://mycourses.siu.edu/d2l/login)
00:37:11	5840/5840	---M-Z	200	added ('OK')	application/javascript	etag:%22d340210aca3dc5ee0a068023f4dc68a1%22	https://s.brightspace.com/lib/tti-polyfill/0.2.2/tti-polyfill-global.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/tti-polyfill/0.2.2/tti-polyfill-global.js	(from https://mycourses.siu.edu/d2l/login)
00:37:12	1008332/1008332	---MCZ	200	added ('OK')	application/x-javascript	etag:%220a8a8feccad71:0%22	https://mycourses.siu.edu/d2l/common/js/babel/D2L.LP.Web.Desktop.js?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/common/js/babel/D2L.LP.Web.Desktope821.js	(from https://mycourses.siu.edu/d2l/login)
00:37:12	45320/45320	---M-Z	200	added ('OK')	application/javascript	etag:%2299ba033e162240086ea2215390433cc4%22	https://s.brightspace.com/lib/adrum-ext/4.2.10-0/adrum-ext.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/adrum-ext/4.2.10-0/adrum-ext.js	(from https://mycourses.siu.edu/d2l/login)
00:37:12	38454/38454	---M-Z	200	added ('OK')	application/javascript	etag:%22b8d10bce9e365ba15cdecf8590ea3b8b%22	https://s.brightspace.com/lib/adrum/4.2.12-2/adrum.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/adrum/4.2.12-2/adrum.js	(from https://mycourses.siu.edu/d2l/login)
00:37:12	1688/1688	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Nov%202021%2005:37:14%20GMT	https://mycourses.siu.edu/d2l/portal/js/desktop?v=20.21.10.32902	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/portal/js/desktope821	(from https://mycourses.siu.edu/d2l/login)
00:37:12	24189/24189	---M-Z	200	added ('OK')	application/javascript	etag:%22a90a62e0b2845da60fb599a7e7af18f7%22	https://s.brightspace.com/lib/regenerator-runtime/0.13.5/runtime.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/regenerator-runtime/0.13.5/runtime.js	(from https://mycourses.siu.edu/d2l/login)
00:37:13	76/76	---M--	200	added ('OK')	image/gif	etag:%2204147b6eacad71:0%22	https://mycourses.siu.edu/d2l/img/lp/fileDrop/close.gif	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/img/lp/fileDrop/close.gif	(from https://mycourses.siu.edu/d2l/common/css/D2L.LP.Web.Desktop.css?v=20.21.10.32902)
00:37:13	3412/3412	---M--	200	added ('OK')	image/png	etag:%2204147b6eacad71:0%22	https://mycourses.siu.edu/d2l/img/lp/dialog/error_36.png	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/img/lp/dialog/error_36.png	(from https://mycourses.siu.edu/d2l/common/css/D2L.LP.Web.Desktop.css?v=20.21.10.32902)
00:37:13	1884/1884	---M--	200	added ('OK')	image/png	etag:%2204147b6eacad71:0%22	https://mycourses.siu.edu/d2l/img/lp/dialog/info_36.png	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/img/lp/dialog/info_36.png	(from https://mycourses.siu.edu/d2l/common/css/D2L.LP.Web.Desktop.css?v=20.21.10.32902)
